,Cell,Ensemble_Member,Country,GWL,RCP,FFDI,RH,Temperature,Precipitation,Wind_Speed,Soil_Moisture
18923,"(49, 36)",akunb,Australia,GWL1.5,rcp2.6,35.64504926470558,43.99560516145494,31.257393226846617,0.5232616380832797,22.126378329694223,107.2341974537275
18924,"(49, 36)",akunc,Australia,GWL1.5,rcp2.6,37.22804966286415,37.98822457737782,33.84744229562142,0.5159557501603961,23.516286795441125,109.86385593694799
18925,"(49, 36)",akund,Australia,GWL1.5,rcp2.6,32.40211645467714,41.58501393343109,32.39654016806409,0.6088771729308365,23.34753971806902,161.72689583722283
18926,"(49, 36)",akune,Australia,GWL1.5,rcp2.6,34.5689429317017,40.82130576848121,31.924061592295317,0.7593364749714132,23.26415032190263,143.6207859237174
18927,"(49, 36)",akung,Australia,GWL1.5,rcp2.6,35.577068600368555,43.37919823455376,30.947299894276405,0.8033251198256013,22.81107506207195,112.43974451920981
18928,"(49, 36)",akunh,Australia,GWL1.5,rcp2.6,36.728797854337785,40.30432078747973,32.79375660720715,0.5251543238339588,23.489622623015208,124.82701055753962
18929,"(49, 36)",akuni,Australia,GWL1.5,rcp2.6,36.31276600652314,42.9443481880459,31.845932057212178,0.6123181632621227,23.21539308795456,119.52187679547865
18930,"(49, 36)",akunj,Australia,GWL1.5,rcp2.6,34.678082905651046,41.98192028552137,32.75462068571808,0.8612705061152721,24.214335108123322,134.308364747573
18931,"(49, 36)",akunl,Australia,GWL1.5,rcp2.6,33.29867171740145,39.927890047378085,33.29581387536766,0.6784186978757413,24.515970516643304,174.5027350792518
18932,"(49, 36)",akunn,Australia,GWL1.5,rcp2.6,34.201588401987735,40.51303299059187,32.43483995274135,0.8112350300487684,23.82670043224002,140.36870049176898
18933,"(49, 36)",akuno,Australia,GWL1.5,rcp2.6,36.66520934873349,38.002447178149275,33.48291570277302,0.49870324060852894,23.50301080250614,119.35138934082781
18934,"(49, 36)",akunp,Australia,GWL1.5,rcp2.6,36.8383726731419,46.6056199118595,30.40611639854892,0.9111253070017825,23.28598783802472,141.34353322278733
18935,"(49, 36)",akunq,Australia,GWL1.5,rcp2.6,37.28857957625194,38.546583840094115,32.920816140425835,0.44824870757525803,24.074884313760318,123.70235952410782
18936,"(49, 36)",aldpa,Australia,GWL1.5,rcp8.5,35.87326433901142,37.218152866242036,34.50070126648921,0.5894746346544563,23.14977578578909,140.8220521963326
18937,"(49, 36)",aldpb,Australia,GWL1.5,rcp8.5,31.889835610186786,40.632486388384756,32.06482843997907,0.8171882545129764,22.945427553585436,162.2028742130785
18938,"(49, 36)",aldpc,Australia,GWL1.5,rcp8.5,35.611405512974585,41.40389264990329,33.2923638899045,0.8847138901769326,22.837528611150443,128.7543872707817
18939,"(49, 36)",aldpe,Australia,GWL1.5,rcp8.5,33.81968709526792,38.87996323529412,34.908868127710676,0.8458883933043896,24.42813806773382,161.00634002685547
18940,"(49, 36)",aldpf,Australia,GWL1.5,rcp8.5,34.182098197513064,38.110709366391184,33.178778816517394,0.59554289940612,23.98001539491305,150.16027319201424
18941,"(49, 36)",aldph,Australia,GWL1.5,rcp8.5,36.83092979112625,39.24463190184049,33.164533922695256,0.6314265176316691,23.947215671269632,120.43818262018308
18942,"(49, 36)",aldpi,Australia,GWL1.5,rcp8.5,35.28510343612179,40.391322544642854,31.60451996273228,0.35678573531122587,23.927933141913776,134.39266238893782
18943,"(49, 36)",aldpj,Australia,GWL1.5,rcp8.5,36.28093498575761,39.03740059642147,34.15122658405342,0.6574879355898654,24.025751751628654,141.7722991275977
18944,"(49, 36)",aldpk,Australia,GWL1.5,rcp8.5,37.28034012529479,36.75283860502839,33.93358087346308,0.4443664085858298,24.959784966783126,112.2657422686822
18945,"(49, 36)",aldpl,Australia,GWL1.5,rcp8.5,37.55013150566523,38.27475710014948,32.63192110532068,0.4783345327885864,23.8686222744331,112.23266040476983
18946,"(49, 36)",aldpm,Australia,GWL1.5,rcp8.5,36.47148991098191,46.582082833133256,29.499058859688894,0.9537615445085139,23.624211470963303,126.65448181225615
18947,"(49, 36)",aldpn,Australia,GWL1.5,rcp8.5,35.01864436974067,40.59695512820513,32.406198362203746,0.6234732450135013,23.7428849416725,141.8407209347456
18948,"(49, 36)",aldpo,Australia,GWL1.5,rcp8.5,32.5918175357099,41.44492254733218,31.261327553123696,0.7229399569724773,23.319132014924673,171.7524781744164
18949,"(49, 36)",aldpp,Australia,GWL1.5,rcp8.5,36.718045393041784,40.24006080449018,33.416054016413035,0.6413536932016337,21.97054345757309,107.76247692197366
18950,"(49, 36)",aldpq,Australia,GWL1.5,rcp8.5,36.463970801457506,43.67275828460039,32.08842880776984,0.8355438770192442,20.61462899924327,109.99337524652016
18951,"(49, 36)",aldqa,Australia,GWL1.5,rcp8.5,36.998286579195394,39.18571428571428,33.380858613877066,0.6007007857636992,23.93836193526288,137.3825847516741
18952,"(49, 36)",aldqb,Australia,GWL1.5,rcp8.5,34.5334179137751,39.29332386363637,32.737997298890896,0.37272851222492404,24.06853857472379,158.1184792952104
18953,"(49, 36)",aldqc,Australia,GWL1.5,rcp8.5,36.854772279207204,45.275895856662935,30.902938932480765,0.7530270447810903,19.949107836163616,109.31304254991076
18954,"(49, 36)",aldqd,Australia,GWL1.5,rcp8.5,36.500041268791314,40.35266012396694,33.33593272177641,0.8300602593151628,24.180081928186862,146.40038722014623
18955,"(49, 36)",aldqe,Australia,GWL1.5,rcp8.5,35.34809746360745,43.79312015503876,29.78668814420084,0.6396087389313443,21.567334544005526,108.18118467503432
18956,"(49, 36)",aldqg,Australia,GWL1.5,rcp8.5,34.983225958293396,39.8783950617284,32.56384540134006,0.7550445538324885,23.29191999258378,154.93366036120756
18957,"(49, 36)",aldqi,Australia,GWL1.5,rcp8.5,34.80561639369567,40.179236043095,32.84561505630598,0.702491371710155,22.9193055653581,131.01260372987574
18958,"(49, 36)",aldqj,Australia,GWL1.5,rcp8.5,33.96201944581115,35.25219979296066,34.08246806442861,0.4233339992677267,24.35811289724118,160.58110548694683
18959,"(49, 36)",aldql,Australia,GWL1.5,rcp8.5,34.97141433881665,39.20735143442623,34.07406851502716,0.6744607990862468,23.501217655055697,127.33389782514729
18960,"(49, 36)",aldqm,Australia,GWL1.5,rcp8.5,34.928977235010926,42.60207659115426,31.934096545206046,0.8771423460589898,22.58628675391143,118.31002619968649
18961,"(49, 36)",aldqn,Australia,GWL1.5,rcp8.5,36.53285699503924,39.322737068965516,33.37893309428774,0.6059125446308329,24.34844636354373,107.64737280483904
18962,"(49, 36)",aldqo,Australia,GWL1.5,rcp8.5,35.90591489916828,38.38821385176185,34.5204076384571,0.6581875550917314,23.871757139957623,141.9237156957207
18963,"(49, 36)",aldqp,Australia,GWL1.5,rcp8.5,31.83281177719536,35.92418981481482,34.27179478421623,0.45789333101209145,23.779502582131148,168.51315505416304
18964,"(49, 36)",aldqq,Australia,GWL1.5,rcp8.5,36.75660572980737,39.80727040816326,33.59638740383849,0.8198975648235381,23.730248791025208,123.57059052136479
18965,"(49, 36)",aldra,Australia,GWL1.5,rcp8.5,35.344835294557456,38.65512746234067,33.9447915197662,0.5057116818812369,23.367427179330594,152.2727231128467
18966,"(49, 36)",aldrb,Australia,GWL1.5,rcp8.5,32.03155640254795,39.06710053859964,32.439352151949485,0.5452619664510824,24.2387214065481,161.0734129106121
18967,"(49, 36)",aldrc,Australia,GWL1.5,rcp8.5,32.54666090941618,37.919642857142854,34.67601417057098,0.5560239122515485,24.754276363418462,163.73155798533605
18968,"(49, 36)",aldre,Australia,GWL1.5,rcp8.5,33.655218642933754,43.53715551181102,30.127405185399095,0.5730893104751184,23.180645862570845,169.4660180760181
18969,"(49, 36)",aldrf,Australia,GWL1.5,rcp8.5,36.93844076291971,36.1138718342287,33.87147224086665,0.3735525070575885,24.459077641700357,113.099885789779
18970,"(49, 36)",aldrg,Australia,GWL1.5,rcp8.5,35.90227954856456,41.487537764350456,32.65155898072088,0.799383738684381,23.46190026466755,111.06652020687783
18971,"(49, 36)",aldrh,Australia,GWL1.5,rcp8.5,35.93324575622255,41.6058009909166,32.71262990571958,0.8039679534396118,22.0709990627097,123.4347384993839
18972,"(49, 36)",aldri,Australia,GWL1.5,rcp8.5,36.89233107601226,42.969075520833336,30.3297627021869,0.6012327261921521,22.490702745849223,124.91647219657898
18973,"(49, 36)",aldrj,Australia,GWL1.5,rcp8.5,34.31138710034515,42.426515151515154,32.047560319033536,0.6794093230600196,19.737860565044432,107.56683617794152
18974,"(49, 36)",aldrk,Australia,GWL1.5,rcp8.5,36.815015266762146,39.13322368421053,33.69559837463207,0.7061294680038886,24.00990743289062,132.50823934454667
18975,"(49, 36)",aldrl,Australia,GWL1.5,rcp8.5,35.94414940880736,39.65,34.4212656853183,0.8488652942661233,23.74747959432914,156.7747994442114
18976,"(49, 36)",aldrm,Australia,GWL1.5,rcp8.5,34.60817406675613,42.78200120192308,33.05453095298547,0.7123840376329424,19.41728184071945,109.71860584845909
